image_path,label,augmentation
original/Airport/158.jpg,Airport,original
original/Airport/210.jpg,Airport,original
original/Airport/330.jpg,Airport,original
original/Airport/153.jpg,Airport,original
original/Airport/686.jpg,Airport,original
original/Airport/008.jpg,Airport,original
original/Airport/093.jpg,Airport,original
original/Airport/188.jpg,Airport,original
original/Airport/239.jpg,Airport,original
original/Airport/433.jpg,Airport,original
original/Airport/228.jpg,Airport,original
original/Airport/413.jpg,Airport,original
original/Airport/484.jpg,Airport,original
original/Airport/122.jpg,Airport,original
original/Airport/637.jpg,Airport,original
original/Airport/242.jpg,Airport,original
original/Airport/426.jpg,Airport,original
original/Airport/423.jpg,Airport,original
original/Airport/162.jpg,Airport,original
original/Airport/314.jpg,Airport,original
original/Airport/758.jpg,Airport,original
original/Airport/393.jpg,Airport,original
original/Airport/451.jpg,Airport,original
original/Airport/474.jpg,Airport,original
original/Airport/251.jpg,Airport,original
original/Airport/696.jpg,Airport,original
original/Airport/407.jpg,Airport,original
original/Airport/456.jpg,Airport,original
original/Airport/397.jpg,Airport,original
original/Airport/109.jpg,Airport,original
original/Airport/402.jpg,Airport,original
original/Airport/195.jpg,Airport,original
original/Airport/259.jpg,Airport,original
original/Airport/688.jpg,Airport,original
original/Airport/563.jpg,Airport,original
original/Airport/146.jpg,Airport,original
original/Airport/750.jpg,Airport,original
original/Airport/641.jpg,Airport,original
original/Airport/690.jpg,Airport,original
original/Airport/743.jpg,Airport,original
original/Airport/174.jpg,Airport,original
original/Airport/411.jpg,Airport,original
original/Airport/477.jpg,Airport,original
original/Airport/085.jpg,Airport,original
original/Airport/015.jpg,Airport,original
original/Airport/255.jpg,Airport,original
original/Airport/665.jpg,Airport,original
original/Airport/305.jpg,Airport,original
original/Airport/132.jpg,Airport,original
original/Airport/576.jpg,Airport,original
original/Airport/057.jpg,Airport,original
original/Airport/319.jpg,Airport,original
original/Airport/586.jpg,Airport,original
original/Airport/299.jpg,Airport,original
original/Airport/201.jpg,Airport,original
original/Airport/244.jpg,Airport,original
original/Airport/270.jpg,Airport,original
original/Airport/483.jpg,Airport,original
original/Airport/651.jpg,Airport,original
original/Airport/367.jpg,Airport,original
original/Airport/190.jpg,Airport,original
original/Airport/385.jpg,Airport,original
original/Airport/552.jpg,Airport,original
original/Airport/278.jpg,Airport,original
original/Airport/680.jpg,Airport,original
original/Airport/567.jpg,Airport,original
original/Airport/258.jpg,Airport,original
original/Airport/762.jpg,Airport,original
original/Airport/722.jpg,Airport,original
original/Airport/746.jpg,Airport,original
original/Airport/128.jpg,Airport,original
original/Airport/281.jpg,Airport,original
original/Airport/349.jpg,Airport,original
original/Airport/755.jpg,Airport,original
original/Airport/525.jpg,Airport,original
original/Airport/123.jpg,Airport,original
original/Airport/070.jpg,Airport,original
original/Airport/585.jpg,Airport,original
original/Airport/222.jpg,Airport,original
original/Airport/548.jpg,Airport,original
original/Airport/639.jpg,Airport,original
original/Airport/317.jpg,Airport,original
original/Airport/670.jpg,Airport,original
original/Airport/325.jpg,Airport,original
original/Airport/262.jpg,Airport,original
original/Airport/570.jpg,Airport,original
original/Airport/321.jpg,Airport,original
original/Airport/485.jpg,Airport,original
original/Airport/235.jpg,Airport,original
original/Airport/599.jpg,Airport,original
original/Airport/773.jpg,Airport,original
original/Airport/358.jpg,Airport,original
original/Airport/537.jpg,Airport,original
original/Airport/438.jpg,Airport,original
original/Airport/348.jpg,Airport,original
original/Airport/499.jpg,Airport,original
original/Airport/355.jpg,Airport,original
original/Airport/125.jpg,Airport,original
original/Airport/030.jpg,Airport,original
original/Airport/098.jpg,Airport,original
original/Airport/106.jpg,Airport,original
original/Airport/603.jpg,Airport,original
original/Airport/689.jpg,Airport,original
original/Airport/304.jpg,Airport,original
original/Airport/614.jpg,Airport,original
original/Airport/156.jpg,Airport,original
original/Airport/240.jpg,Airport,original
original/Airport/390.jpg,Airport,original
original/Airport/661.jpg,Airport,original
original/Airport/635.jpg,Airport,original
original/Airport/087.jpg,Airport,original
original/Airport/638.jpg,Airport,original
original/Airport/165.jpg,Airport,original
original/Airport/469.jpg,Airport,original
original/Airport/196.jpg,Airport,original
original/Airport/434.jpg,Airport,original
original/Airport/399.jpg,Airport,original
original/Airport/274.jpg,Airport,original
original/Airport/400.jpg,Airport,original
original/Airport/518.jpg,Airport,original
original/Airport/161.jpg,Airport,original
original/Airport/178.jpg,Airport,original
original/Airport/447.jpg,Airport,original
original/Airport/110.jpg,Airport,original
original/Airport/448.jpg,Airport,original
original/Airport/050.jpg,Airport,original
original/Airport/591.jpg,Airport,original
original/Airport/663.jpg,Airport,original
original/Airport/231.jpg,Airport,original
original/Airport/061.jpg,Airport,original
original/Airport/043.jpg,Airport,original
original/Airport/207.jpg,Airport,original
original/Airport/084.jpg,Airport,original
original/Airport/023.jpg,Airport,original
original/Airport/657.jpg,Airport,original
original/Airport/136.jpg,Airport,original
original/Airport/412.jpg,Airport,original
original/Airport/353.jpg,Airport,original
original/Airport/410.jpg,Airport,original
original/Airport/511.jpg,Airport,original
original/Airport/252.jpg,Airport,original
original/Airport/453.jpg,Airport,original
original/Airport/283.jpg,Airport,original
original/Airport/593.jpg,Airport,original
original/Airport/396.jpg,Airport,original
original/Airport/403.jpg,Airport,original
original/Airport/493.jpg,Airport,original
original/Airport/435.jpg,Airport,original
original/Airport/265.jpg,Airport,original
original/Airport/724.jpg,Airport,original
original/Airport/247.jpg,Airport,original
original/Airport/215.jpg,Airport,original
original/Airport/717.jpg,Airport,original
original/Airport/217.jpg,Airport,original
original/Airport/503.jpg,Airport,original
original/Airport/268.jpg,Airport,original
original/Airport/287.jpg,Airport,original
original/Airport/618.jpg,Airport,original
original/Airport/450.jpg,Airport,original
original/Airport/080.jpg,Airport,original
original/Airport/494.jpg,Airport,original
original/Airport/655.jpg,Airport,original
original/Airport/062.jpg,Airport,original
original/Airport/147.jpg,Airport,original
original/Airport/391.jpg,Airport,original
original/Airport/044.jpg,Airport,original
original/Airport/473.jpg,Airport,original
original/Airport/441.jpg,Airport,original
original/Airport/020.jpg,Airport,original
original/Airport/144.jpg,Airport,original
original/Airport/768.jpg,Airport,original
original/Airport/541.jpg,Airport,original
original/Airport/398.jpg,Airport,original
original/Airport/361.jpg,Airport,original
original/Airport/444.jpg,Airport,original
original/Airport/300.jpg,Airport,original
original/Airport/542.jpg,Airport,original
original/Airport/432.jpg,Airport,original
original/Airport/439.jpg,Airport,original
original/Airport/662.jpg,Airport,original
original/Airport/430.jpg,Airport,original
original/Airport/619.jpg,Airport,original
original/Airport/295.jpg,Airport,original
original/Airport/173.jpg,Airport,original
original/Airport/331.jpg,Airport,original
original/Airport/633.jpg,Airport,original
original/Airport/225.jpg,Airport,original
original/Airport/596.jpg,Airport,original
original/Airport/628.jpg,Airport,original
original/Airport/489.jpg,Airport,original
original/Airport/748.jpg,Airport,original
original/Airport/699.jpg,Airport,original
original/Airport/428.jpg,Airport,original
original/Airport/135.jpg,Airport,original
original/Airport/172.jpg,Airport,original
original/Airport/382.jpg,Airport,original
original/Airport/796.jpg,Airport,original
original/Airport/446.jpg,Airport,original
original/Airport/389.jpg,Airport,original
original/Airport/383.jpg,Airport,original
original/Airport/377.jpg,Airport,original
original/Airport/366.jpg,Airport,original
original/Airport/139.jpg,Airport,original
original/Airport/405.jpg,Airport,original
original/Airport/039.jpg,Airport,original
original/Airport/606.jpg,Airport,original
original/Airport/751.jpg,Airport,original
original/Airport/798.jpg,Airport,original
original/Airport/145.jpg,Airport,original
original/Airport/294.jpg,Airport,original
original/Airport/046.jpg,Airport,original
original/Airport/772.jpg,Airport,original
original/Airport/026.jpg,Airport,original
original/Airport/256.jpg,Airport,original
original/Airport/157.jpg,Airport,original
original/Airport/131.jpg,Airport,original
original/Airport/313.jpg,Airport,original
original/Airport/137.jpg,Airport,original
original/Airport/785.jpg,Airport,original
original/Airport/601.jpg,Airport,original
original/Airport/625.jpg,Airport,original
original/Airport/112.jpg,Airport,original
original/Airport/376.jpg,Airport,original
original/Airport/648.jpg,Airport,original
original/Airport/296.jpg,Airport,original
original/Airport/163.jpg,Airport,original
original/Airport/506.jpg,Airport,original
original/Airport/471.jpg,Airport,original
original/Airport/388.jpg,Airport,original
original/Airport/097.jpg,Airport,original
original/Airport/521.jpg,Airport,original
original/Airport/308.jpg,Airport,original
original/Airport/620.jpg,Airport,original
original/Airport/341.jpg,Airport,original
original/Airport/198.jpg,Airport,original
original/Airport/119.jpg,Airport,original
original/Airport/589.jpg,Airport,original
original/Airport/230.jpg,Airport,original
original/Airport/497.jpg,Airport,original
original/Airport/632.jpg,Airport,original
original/Airport/715.jpg,Airport,original
original/Airport/523.jpg,Airport,original
original/Airport/404.jpg,Airport,original
original/Airport/371.jpg,Airport,original
original/Airport/582.jpg,Airport,original
original/Airport/516.jpg,Airport,original
